 # Re 	 CD 
 7.99 	 0 
 8 	 -0.00116991 
 8.01 	 -0.00226875 
 8.02 	 -0.00322545 
 8.03 	 -0.00396893 
 8.04 	 -0.00442814 
 8.05 	 -0.00453198 
 8.06 	 -0.0042094 
 8.07 	 -0.00338933 
 8.08 	 -0.00200068 
 8.09 	 2.76e-005 
 8.1 	 0.00273922 
 8.11 	 0.00606836 
 8.12 	 0.00992183 
 8.13 	 0.0142065 
 8.14 	 0.0188291 
 8.15 	 0.0236964 
 8.16 	 0.0287154 
 8.17 	 0.0337928 
 8.18 	 0.0388354 
 8.19 	 0.04375 
 8.2 	 0.0484603 
 8.21 	 0.052957 
 8.22 	 0.0572476 
 8.23 	 0.0613398 
 8.24 	 0.0652411 
 8.25 	 0.0689591 
 8.26 	 0.0725014 
 8.27 	 0.0758754 
 8.28 	 0.0790888 
 8.29 	 0.0821491 
 8.3 	 0.0850639 
 8.31 	 0.0878408 
 8.32 	 0.0904873 
 8.33 	 0.093011 
 8.34 	 0.0954194 
 8.35 	 0.0977202 
 8.36 	 0.0999208 
 8.37 	 0.102029 
 8.38 	 0.104052 
 8.39 	 0.105998 
 8.4 	 0.107873 
 8.41 	 0.109687 
 8.42 	 0.111446 
 8.43 	 0.113157 
 8.44 	 0.114829 
 8.45 	 0.116469 
 8.46 	 0.118085 
 8.47 	 0.119683 
 8.48 	 0.121273 
 8.49 	 0.12286 
 8.5 	 0.124453 
 8.51 	 0.12606 
 8.52 	 0.127688 
 8.53 	 0.129344 
 8.54 	 0.131036 
 8.55 	 0.132771 
 8.56 	 0.134558 
 8.57 	 0.136404 
 8.58 	 0.138316 
 8.59 	 0.140301 
 8.6 	 0.142368 
 8.61 	 0.144525 
 8.62 	 0.146777 
 8.63 	 0.149134 
 8.64 	 0.151603 
 8.65 	 0.154191 
 8.66 	 0.156905 
 8.67 	 0.159754 
 8.68 	 0.162745 
 8.69 	 0.165885 
 8.7 	 0.169183 
 8.71 	 0.172643 
 8.72 	 0.176265 
 8.73 	 0.180044 
 8.74 	 0.183976 
 8.75 	 0.188059 
 8.76 	 0.192289 
 8.77 	 0.196662 
 8.78 	 0.201175 
 8.79 	 0.205824 
 8.8 	 0.210605 
 8.81 	 0.215515 
 8.82 	 0.22055 
 8.83 	 0.225708 
 8.84 	 0.230983 
 8.85 	 0.236373 
 8.86 	 0.241874 
 8.87 	 0.247482 
 8.88 	 0.253194 
 8.89 	 0.259007 
 8.9 	 0.264916 
 8.91 	 0.270918 
 8.92 	 0.27701 
 8.93 	 0.283188 
 8.94 	 0.289448 
 8.95 	 0.295787 
 8.96 	 0.302202 
 8.97 	 0.308688 
 8.98 	 0.315242 
 8.99 	 0.32186 
 9 	 0.32854 
 9.01 	 0.335277 
 9.02 	 0.342068 
 9.03 	 0.348909 
 9.04 	 0.355797 
 9.05 	 0.362727 
 9.06 	 0.369698 
 9.07 	 0.376704 
 9.08 	 0.383743 
 9.09 	 0.39081 
 9.1 	 0.397903 
 9.11 	 0.405017 
 9.12 	 0.412149 
 9.13 	 0.419296 
 9.14 	 0.426453 
 9.15 	 0.433618 
 9.16 	 0.440787 
 9.17 	 0.447956 
 9.18 	 0.455121 
 9.19 	 0.46228 
 9.2 	 0.469428 
 9.21 	 0.476562 
 9.22 	 0.483682 
 9.23 	 0.490786 
 9.24 	 0.497875 
 9.25 	 0.504946 
 9.26 	 0.512001 
 9.27 	 0.519038 
 9.28 	 0.526056 
 9.29 	 0.533056 
 9.3 	 0.540036 
 9.31 	 0.546995 
 9.32 	 0.553934 
 9.33 	 0.560852 
 9.34 	 0.567747 
 9.35 	 0.57462 
 9.36 	 0.58147 
 9.37 	 0.588296 
 9.38 	 0.595097 
 9.39 	 0.601873 
 9.4 	 0.608624 
