 # Re 	 CD 
 7.99 	 0 
 8 	 2.5116e-006 
 8.01 	 4.6368e-006 
 8.02 	 6.5412e-006 
 8.03 	 8.3904e-006 
 8.04 	 1.035e-005 
 8.05 	 1.25856e-005 
 8.06 	 1.52628e-005 
 8.07 	 1.85472e-005 
 8.08 	 2.26044e-005 
 8.09 	 2.76e-005 
 8.1 	 0.000891018 
 8.11 	 0.00328302 
 8.12 	 0.00692279 
 8.13 	 0.0115295 
 8.14 	 0.0168224 
 8.15 	 0.0225205 
 8.16 	 0.0283432 
 8.17 	 0.0340095 
 8.18 	 0.0392387 
 8.19 	 0.04375 
 8.2 	 0.0477122 
 8.21 	 0.0514865 
 8.22 	 0.0550808 
 8.23 	 0.058503 
 8.24 	 0.0617608 
 8.25 	 0.0648621 
 8.26 	 0.0678146 
 8.27 	 0.0706263 
 8.28 	 0.0733049 
 8.29 	 0.0758582 
 8.3 	 0.078294 
 8.31 	 0.0806202 
 8.32 	 0.0828446 
 8.33 	 0.0849751 
 8.34 	 0.0870193 
 8.35 	 0.0889852 
 8.36 	 0.0908806 
 8.37 	 0.0927133 
 8.38 	 0.094491 
 8.39 	 0.0962217 
 8.4 	 0.0979132 
 8.41 	 0.0995732 
 8.42 	 0.10121 
 8.43 	 0.10283 
 8.44 	 0.104443 
 8.45 	 0.106055 
 8.46 	 0.107675 
 8.47 	 0.109311 
 8.48 	 0.11097 
 8.49 	 0.11266 
 8.5 	 0.114389 
 8.51 	 0.116164 
 8.52 	 0.117994 
 8.53 	 0.119887 
 8.54 	 0.12185 
 8.55 	 0.123891 
 8.56 	 0.126017 
 8.57 	 0.128238 
 8.58 	 0.130559 
 8.59 	 0.132991 
 8.6 	 0.135539 
 8.61 	 0.138212 
 8.62 	 0.141018 
 8.63 	 0.143964 
 8.64 	 0.147059 
 8.65 	 0.150311 
 8.66 	 0.153726 
 8.67 	 0.157313 
 8.68 	 0.161079 
 8.69 	 0.165034 
 8.7 	 0.169183 
 8.71 	 0.173503 
 8.72 	 0.17796 
 8.73 	 0.18255 
 8.74 	 0.187269 
 8.75 	 0.192112 
 8.76 	 0.197076 
 8.77 	 0.202155 
 8.78 	 0.207346 
 8.79 	 0.212644 
 8.8 	 0.218046 
 8.81 	 0.223546 
 8.82 	 0.22914 
 8.83 	 0.234825 
 8.84 	 0.240596 
 8.85 	 0.246448 
 8.86 	 0.252378 
 8.87 	 0.25838 
 8.88 	 0.264452 
 8.89 	 0.270588 
 8.9 	 0.276784 
 8.91 	 0.283036 
 8.92 	 0.28934 
 8.93 	 0.295691 
 8.94 	 0.302085 
 8.95 	 0.308518 
 8.96 	 0.314986 
 8.97 	 0.321484 
 8.98 	 0.328007 
 8.99 	 0.334553 
 9 	 0.341116 
 9.01 	 0.347692 
 9.02 	 0.354276 
 9.03 	 0.360866 
 9.04 	 0.367455 
 9.05 	 0.374041 
 9.06 	 0.380618 
 9.07 	 0.387182 
 9.08 	 0.39373 
 9.09 	 0.400257 
 9.1 	 0.406758 
 9.11 	 0.413229 
 9.12 	 0.419667 
 9.13 	 0.426066 
 9.14 	 0.432422 
 9.15 	 0.438732 
 9.16 	 0.444991 
 9.17 	 0.451194 
 9.18 	 0.457337 
 9.19 	 0.463417 
 9.2 	 0.469428 
 9.21 	 0.475469 
 9.22 	 0.481637 
 9.23 	 0.487927 
 9.24 	 0.494335 
 9.25 	 0.500854 
 9.26 	 0.507481 
 9.27 	 0.51421 
 9.28 	 0.521036 
 9.29 	 0.527954 
 9.3 	 0.534959 
 9.31 	 0.542047 
