 # Re 	 CD 
 0.2 	 103 
 10.2 	 -178.621 
 20.2 	 10.5945 
 30.2 	 590.046 
 40.2 	 1480.77 
 50.2 	 2605.44 
 60.2 	 3888.35 
 70.2 	 5255.44 
 80.2 	 6634.25 
 90.2 	 7953.95 
 100.2 	 9145.34 
 110.2 	 10140.8 
 120.2 	 10874.4 
 130.2 	 11281.6 
 140.2 	 11299.8 
 150.2 	 10867.6 
 160.2 	 9925.62 
 170.2 	 8415.72 
 180.2 	 6281.51 
 190.2 	 3468.15 
 200.2 	 -77.6301 
 210.2 	 -4407.51 
 220.2 	 -9571.6 
 230.2 	 -15618.5 
 240.2 	 -22595.1 
 250.2 	 -30546.8 
 260.2 	 -39517.7 
 270.2 	 -49549.8 
 280.2 	 -60684.1 
 290.2 	 -72959.7 
 300.2 	 -86414.4 
 310.2 	 -101084 
 320.2 	 -117004 
 330.2 	 -134206 
 340.2 	 -152723 
 350.2 	 -172584 
 360.2 	 -193818 
 370.2 	 -216452 
 380.2 	 -240512 
 390.2 	 -266021 
 400.2 	 -293001 
 410.2 	 -321475 
 420.2 	 -351461 
 430.2 	 -382977 
 440.2 	 -416039 
 450.2 	 -450664 
 460.2 	 -486864 
 470.2 	 -524651 
 480.2 	 -564036 
 490.2 	 -605027 
 500.2 	 -647634 
 510.2 	 -691861 
 520.2 	 -737714 
 530.2 	 -785195 
 540.2 	 -834306 
 550.2 	 -885049 
 560.2 	 -937421 
 570.2 	 -991421 
 580.2 	 -1.04704e+006 
 590.2 	 -1.10428e+006 
 600.2 	 -1.16313e+006 
 610.2 	 -1.22359e+006 
 620.2 	 -1.28564e+006 
 630.2 	 -1.34926e+006 
 640.2 	 -1.41446e+006 
 650.2 	 -1.48122e+006 
 660.2 	 -1.54951e+006 
 670.2 	 -1.61933e+006 
 680.2 	 -1.69065e+006 
 690.2 	 -1.76345e+006 
 700.2 	 -1.83773e+006 
 710.2 	 -1.91344e+006 
 720.2 	 -1.99057e+006 
 730.2 	 -2.0691e+006 
 740.2 	 -2.14899e+006 
 750.2 	 -2.23022e+006 
 760.2 	 -2.31277e+006 
 770.2 	 -2.39659e+006 
 780.2 	 -2.48166e+006 
 790.2 	 -2.56794e+006 
 800.2 	 -2.6554e+006 
 810.2 	 -2.744e+006 
 820.2 	 -2.83372e+006 
 830.2 	 -2.92449e+006 
 840.2 	 -3.0163e+006 
 850.2 	 -3.10909e+006 
 860.2 	 -3.20282e+006 
 870.2 	 -3.29746e+006 
 880.2 	 -3.39294e+006 
 890.2 	 -3.48923e+006 
 900.2 	 -3.58628e+006 
 910.2 	 -3.68405e+006 
 920.2 	 -3.78246e+006 
 930.2 	 -3.88149e+006 
 940.2 	 -3.98107e+006 
 950.2 	 -4.08115e+006 
 960.2 	 -4.18167e+006 
 970.2 	 -4.28258e+006 
 980.2 	 -4.38381e+006 
 990.2 	 -4.48531e+006 
 1000.2 	 -4.58702e+006 
 1010.2 	 -4.68887e+006 
 1020.2 	 -4.79081e+006 
 1030.2 	 -4.89276e+006 
 1040.2 	 -4.99465e+006 
 1050.2 	 -5.09644e+006 
 1060.2 	 -5.19803e+006 
 1070.2 	 -5.29937e+006 
 1080.2 	 -5.40038e+006 
 1090.2 	 -5.50099e+006 
 1100.2 	 -5.60113e+006 
 1110.2 	 -5.70072e+006 
 1120.2 	 -5.79968e+006 
 1130.2 	 -5.89794e+006 
 1140.2 	 -5.99542e+006 
 1150.2 	 -6.09205e+006 
 1160.2 	 -6.18773e+006 
 1170.2 	 -6.28238e+006 
 1180.2 	 -6.37593e+006 
 1190.2 	 -6.46829e+006 
 1200.2 	 -6.55937e+006 
 1210.2 	 -6.64909e+006 
 1220.2 	 -6.73735e+006 
 1230.2 	 -6.82407e+006 
 1240.2 	 -6.90915e+006 
 1250.2 	 -6.99251e+006 
 1260.2 	 -7.07406e+006 
 1270.2 	 -7.15369e+006 
 1280.2 	 -7.23131e+006 
 1290.2 	 -7.30683e+006 
 1300.2 	 -7.38014e+006 
 1310.2 	 -7.45116e+006 
 1320.2 	 -7.51977e+006 
 1330.2 	 -7.58588e+006 
 1340.2 	 -7.64938e+006 
 1350.2 	 -7.71018e+006 
 1360.2 	 -7.76816e+006 
 1370.2 	 -7.82322e+006 
 1380.2 	 -7.87526e+006 
 1390.2 	 -7.92416e+006 
 1400.2 	 -7.96982e+006 
 1410.2 	 -8.01212e+006 
 1420.2 	 -8.05096e+006 
 1430.2 	 -8.08622e+006 
 1440.2 	 -8.11778e+006 
 1450.2 	 -8.14554e+006 
 1460.2 	 -8.16938e+006 
