 # Re 	 CD 
 0.2 	 103 
 10.2 	 -140.938 
 20.2 	 6.71567 
 30.2 	 189.426 
 40.2 	 339.997 
 50.2 	 460.414 
 60.2 	 552.664 
 70.2 	 618.734 
 80.2 	 660.609 
 90.2 	 680.275 
 100.2 	 679.72 
 110.2 	 660.929 
 120.2 	 625.888 
 130.2 	 576.585 
 140.2 	 515.004 
 150.2 	 443.133 
 160.2 	 362.958 
 170.2 	 276.464 
 180.2 	 185.639 
 190.2 	 92.4686 
 200.2 	 -1.06127 
 210.2 	 -93.317 
 220.2 	 -183.995 
 230.2 	 -273.104 
 240.2 	 -360.653 
 250.2 	 -446.652 
 260.2 	 -531.11 
 270.2 	 -614.037 
 280.2 	 -695.44 
 290.2 	 -775.33 
 300.2 	 -853.716 
 310.2 	 -930.607 
 320.2 	 -1006.01 
 330.2 	 -1079.94 
 340.2 	 -1152.4 
 350.2 	 -1223.41 
 360.2 	 -1292.96 
 370.2 	 -1361.07 
 380.2 	 -1427.76 
 390.2 	 -1493.02 
 400.2 	 -1556.87 
 410.2 	 -1619.32 
 420.2 	 -1680.38 
 430.2 	 -1740.05 
 440.2 	 -1798.34 
 450.2 	 -1855.27 
 460.2 	 -1910.84 
 470.2 	 -1965.07 
 480.2 	 -2017.96 
 490.2 	 -2069.51 
 500.2 	 -2119.75 
 510.2 	 -2168.68 
 520.2 	 -2216.3 
 530.2 	 -2262.64 
 540.2 	 -2307.69 
 550.2 	 -2351.47 
 560.2 	 -2393.98 
 570.2 	 -2435.24 
 580.2 	 -2475.25 
 590.2 	 -2514.02 
 600.2 	 -2551.57 
 610.2 	 -2587.9 
 620.2 	 -2623.02 
 630.2 	 -2656.94 
 640.2 	 -2689.67 
 650.2 	 -2721.21 
 660.2 	 -2751.59 
 670.2 	 -2780.8 
 680.2 	 -2808.86 
 690.2 	 -2835.77 
 700.2 	 -2861.55 
 710.2 	 -2886.2 
 720.2 	 -2909.73 
 730.2 	 -2932.16 
 740.2 	 -2953.49 
 750.2 	 -2973.73 
 760.2 	 -2992.89 
 770.2 	 -3010.98 
 780.2 	 -3028 
 790.2 	 -3043.98 
 800.2 	 -3058.91 
 810.2 	 -3072.8 
 820.2 	 -3085.68 
 830.2 	 -3097.53 
 840.2 	 -3108.38 
 850.2 	 -3118.23 
 860.2 	 -3127.1 
 870.2 	 -3134.99 
 880.2 	 -3141.9 
 890.2 	 -3147.86 
 900.2 	 -3152.87 
 910.2 	 -3156.93 
 920.2 	 -3160.06 
 930.2 	 -3162.27 
 940.2 	 -3163.56 
 950.2 	 -3163.95 
 960.2 	 -3163.44 
 970.2 	 -3162.05 
 980.2 	 -3159.78 
 990.2 	 -3156.64 
 1000.2 	 -3152.64 
 1010.2 	 -3147.79 
 1020.2 	 -3142.11 
 1030.2 	 -3135.59 
 1040.2 	 -3128.25 
 1050.2 	 -3120.09 
 1060.2 	 -3111.14 
 1070.2 	 -3101.38 
 1080.2 	 -3090.85 
 1090.2 	 -3079.54 
 1100.2 	 -3067.46 
 1110.2 	 -3054.62 
 1120.2 	 -3041.04 
 1130.2 	 -3026.71 
 1140.2 	 -3011.66 
 1150.2 	 -2995.88 
 1160.2 	 -2979.4 
 1170.2 	 -2962.21 
 1180.2 	 -2944.33 
 1190.2 	 -2925.77 
 1200.2 	 -2906.53 
 1210.2 	 -2886.63 
 1220.2 	 -2866.07 
 1230.2 	 -2844.86 
 1240.2 	 -2823.02 
 1250.2 	 -2800.54 
 1260.2 	 -2777.45 
 1270.2 	 -2753.75 
 1280.2 	 -2729.45 
 1290.2 	 -2704.56 
 1300.2 	 -2679.08 
 1310.2 	 -2653.03 
 1320.2 	 -2626.42 
 1330.2 	 -2599.25 
 1340.2 	 -2571.54 
 1350.2 	 -2543.29 
 1360.2 	 -2514.51 
 1370.2 	 -2485.22 
 1380.2 	 -2455.42 
 1390.2 	 -2425.12 
 1400.2 	 -2394.33 
 1410.2 	 -2363.05 
 1420.2 	 -2331.31 
 1430.2 	 -2299.1 
 1440.2 	 -2266.45 
 1450.2 	 -2233.34 
 1460.2 	 -2199.8 
 1470.2 	 -2165.84 
 1480.2 	 -2131.46 
 1490.2 	 -2096.67 
 1500.2 	 -2061.49 
 1510.2 	 -2025.92 
 1520.2 	 -1989.96 
 1530.2 	 -1953.64 
 1540.2 	 -1916.96 
 1550.2 	 -1879.92 
 1560.2 	 -1842.54 
 1570.2 	 -1804.83 
 1580.2 	 -1766.8 
 1590.2 	 -1728.44 
 1600.2 	 -1689.79 
 1610.2 	 -1650.84 
 1620.2 	 -1611.6 
 1630.2 	 -1572.08 
 1640.2 	 -1532.29 
 1650.2 	 -1492.25 
 1660.2 	 -1451.95 
 1670.2 	 -1411.41 
 1680.2 	 -1370.64 
 1690.2 	 -1329.65 
 1700.2 	 -1288.44 
 1710.2 	 -1247.03 
 1720.2 	 -1205.43 
 1730.2 	 -1163.64 
 1740.2 	 -1121.67 
 1750.2 	 -1079.53 
 1760.2 	 -1037.24 
 1770.2 	 -994.799 
 1780.2 	 -952.218 
 1790.2 	 -909.506 
 1800.2 	 -866.672 
 1810.2 	 -823.727 
 1820.2 	 -780.678 
 1830.2 	 -737.536 
 1840.2 	 -694.31 
 1850.2 	 -651.008 
 1860.2 	 -607.641 
 1870.2 	 -564.217 
 1880.2 	 -520.745 
 1890.2 	 -477.235 
 1900.2 	 -433.696 
 1910.2 	 -390.137 
 1920.2 	 -346.567 
 1930.2 	 -302.996 
 1940.2 	 -259.433 
 1950.2 	 -215.887 
 1960.2 	 -172.367 
 1970.2 	 -128.882 
 1980.2 	 -85.4421 
 1990.2 	 -42.0561 
 2000.2 	 1.26678 
 2010.2 	 44.519 
 2020.2 	 87.699 
 2030.2 	 130.807 
 2040.2 	 173.843 
 2050.2 	 216.807 
 2060.2 	 259.699 
 2070.2 	 302.519 
 2080.2 	 345.267 
 2090.2 	 387.944 
 2100.2 	 430.548 
 2110.2 	 473.081 
 2120.2 	 515.543 
 2130.2 	 557.932 
 2140.2 	 600.25 
 2150.2 	 642.496 
 2160.2 	 684.671 
 2170.2 	 726.774 
 2180.2 	 768.806 
 2190.2 	 810.766 
 2200.2 	 852.655 
 2210.2 	 894.473 
 2220.2 	 936.219 
 2230.2 	 977.894 
 2240.2 	 1019.5 
 2250.2 	 1061.03 
 2260.2 	 1102.49 
 2270.2 	 1143.88 
 2280.2 	 1185.2 
 2290.2 	 1226.45 
 2300.2 	 1267.63 
 2310.2 	 1308.73 
 2320.2 	 1349.77 
 2330.2 	 1390.73 
 2340.2 	 1431.63 
 2350.2 	 1472.45 
 2360.2 	 1513.2 
 2370.2 	 1553.88 
 2380.2 	 1594.5 
 2390.2 	 1635.04 
 2400.2 	 1675.51 
 2410.2 	 1715.9 
 2420.2 	 1756.23 
 2430.2 	 1796.49 
 2440.2 	 1836.68 
 2450.2 	 1876.8 
 2460.2 	 1916.84 
 2470.2 	 1956.82 
 2480.2 	 1996.73 
 2490.2 	 2036.56 
 2500.2 	 2076.33 
 2510.2 	 2116.02 
 2520.2 	 2155.65 
 2530.2 	 2195.21 
 2540.2 	 2234.69 
 2550.2 	 2274.11 
 2560.2 	 2313.45 
 2570.2 	 2352.73 
 2580.2 	 2391.93 
 2590.2 	 2431.07 
 2600.2 	 2470.14 
 2610.2 	 2509.13 
 2620.2 	 2548.06 
 2630.2 	 2586.92 
 2640.2 	 2625.71 
 2650.2 	 2664.42 
 2660.2 	 2703.07 
 2670.2 	 2741.65 
 2680.2 	 2780.16 
 2690.2 	 2818.6 
 2700.2 	 2856.97 
 2710.2 	 2895.27 
 2720.2 	 2933.5 
 2730.2 	 2971.67 
 2740.2 	 3009.76 
 2750.2 	 3047.79 
 2760.2 	 3085.74 
 2770.2 	 3123.63 
 2780.2 	 3161.44 
 2790.2 	 3199.19 
 2800.2 	 3236.87 
 2810.2 	 3274.48 
 2820.2 	 3312.02 
 2830.2 	 3349.49 
 2840.2 	 3386.9 
 2850.2 	 3424.23 
 2860.2 	 3461.5 
 2870.2 	 3498.7 
 2880.2 	 3535.83 
 2890.2 	 3572.89 
 2900.2 	 3609.88 
 2910.2 	 3646.8 
 2920.2 	 3683.65 
 2930.2 	 3720.44 
 2940.2 	 3757.16 
 2950.2 	 3793.81 
 2960.2 	 3830.39 
 2970.2 	 3866.9 
 2980.2 	 3903.34 
 2990.2 	 3939.72 
 3000.2 	 3976.03 
 3010.2 	 4012.27 
 3020.2 	 4048.44 
 3030.2 	 4084.54 
 3040.2 	 4120.58 
 3050.2 	 4156.55 
 3060.2 	 4192.45 
 3070.2 	 4228.28 
 3080.2 	 4264.04 
 3090.2 	 4299.74 
 3100.2 	 4335.37 
 3110.2 	 4370.93 
 3120.2 	 4406.42 
 3130.2 	 4441.84 
 3140.2 	 4477.2 
 3150.2 	 4512.49 
 3160.2 	 4547.71 
 3170.2 	 4582.87 
 3180.2 	 4617.96 
 3190.2 	 4652.98 
 3200.2 	 4687.93 
 3210.2 	 4722.82 
 3220.2 	 4757.63 
 3230.2 	 4792.38 
 3240.2 	 4827.07 
 3250.2 	 4861.68 
 3260.2 	 4896.23 
 3270.2 	 4930.72 
 3280.2 	 4965.13 
 3290.2 	 4999.48 
 3300.2 	 5033.76 
 3310.2 	 5067.97 
 3320.2 	 5102.12 
 3330.2 	 5136.2 
 3340.2 	 5170.22 
 3350.2 	 5204.16 
 3360.2 	 5238.04 
 3370.2 	 5271.86 
 3380.2 	 5305.6 
 3390.2 	 5339.28 
 3400.2 	 5372.9 
 3410.2 	 5406.44 
 3420.2 	 5439.92 
 3430.2 	 5473.34 
 3440.2 	 5506.68 
 3450.2 	 5539.97 
 3460.2 	 5573.18 
 3470.2 	 5606.33 
 3480.2 	 5639.41 
