 # Re 	 CD 
 0.2 	 103 
 10.2 	 6.07736 
 20.2 	 2.71574 
 30.2 	 2.50881 
 40.2 	 2.31414 
 50.2 	 2.13165 
 60.2 	 1.96126 
 70.2 	 1.80288 
 80.2 	 1.65643 
 90.2 	 1.52184 
 100.2 	 1.39901 
 110.2 	 1.28787 
 120.2 	 1.18833 
 130.2 	 1.10031 
 140.2 	 1.02374 
 150.2 	 0.958517 
 160.2 	 0.904573 
 170.2 	 0.861824 
 180.2 	 0.830185 
 190.2 	 0.809576 
 200.2 	 0.799911 
 210.2 	 0.795491 
 220.2 	 0.791095 
 230.2 	 0.786724 
 240.2 	 0.782377 
 250.2 	 0.778055 
 260.2 	 0.773758 
 270.2 	 0.769485 
 280.2 	 0.765237 
 290.2 	 0.761013 
 300.2 	 0.756814 
 310.2 	 0.75264 
 320.2 	 0.748491 
 330.2 	 0.744366 
 340.2 	 0.740265 
 350.2 	 0.73619 
 360.2 	 0.732138 
 370.2 	 0.728112 
 380.2 	 0.72411 
 390.2 	 0.720133 
 400.2 	 0.71618 
 410.2 	 0.712253 
 420.2 	 0.708349 
 430.2 	 0.704471 
 440.2 	 0.700616 
 450.2 	 0.696787 
 460.2 	 0.692982 
 470.2 	 0.689202 
 480.2 	 0.685447 
 490.2 	 0.681716 
 500.2 	 0.678009 
 510.2 	 0.674328 
 520.2 	 0.670671 
 530.2 	 0.667038 
 540.2 	 0.663431 
 550.2 	 0.659848 
 560.2 	 0.656289 
 570.2 	 0.652755 
 580.2 	 0.649246 
 590.2 	 0.645761 
 600.2 	 0.642301 
 610.2 	 0.638866 
 620.2 	 0.635455 
 630.2 	 0.632069 
 640.2 	 0.628708 
 650.2 	 0.625371 
 660.2 	 0.622059 
 670.2 	 0.618771 
 680.2 	 0.615508 
 690.2 	 0.61227 
 700.2 	 0.609056 
 710.2 	 0.605867 
 720.2 	 0.602703 
 730.2 	 0.599563 
 740.2 	 0.596448 
 750.2 	 0.593357 
 760.2 	 0.590292 
 770.2 	 0.58725 
 780.2 	 0.584234 
 790.2 	 0.581242 
 800.2 	 0.578274 
 810.2 	 0.575331 
 820.2 	 0.572413 
 830.2 	 0.56952 
 840.2 	 0.566651 
 850.2 	 0.563807 
 860.2 	 0.560987 
 870.2 	 0.558192 
 880.2 	 0.555422 
 890.2 	 0.552676 
 900.2 	 0.549955 
 910.2 	 0.547259 
 920.2 	 0.544587 
 930.2 	 0.54194 
 940.2 	 0.539317 
 950.2 	 0.536719 
 960.2 	 0.534146 
 970.2 	 0.531597 
 980.2 	 0.529073 
 990.2 	 0.526574 
 1000.2 	 0.524099 
 1010.2 	 0.521649 
 1020.2 	 0.519223 
 1030.2 	 0.516822 
 1040.2 	 0.514446 
 1050.2 	 0.512094 
 1060.2 	 0.509767 
 1070.2 	 0.507465 
 1080.2 	 0.505187 
 1090.2 	 0.502934 
 1100.2 	 0.500706 
 1110.2 	 0.498502 
 1120.2 	 0.496323 
 1130.2 	 0.494168 
 1140.2 	 0.492038 
 1150.2 	 0.489933 
 1160.2 	 0.487852 
 1170.2 	 0.485796 
 1180.2 	 0.483764 
 1190.2 	 0.481758 
 1200.2 	 0.479775 
 1210.2 	 0.477818 
 1220.2 	 0.475885 
 1230.2 	 0.473977 
 1240.2 	 0.472093 
 1250.2 	 0.470234 
 1260.2 	 0.468399 
 1270.2 	 0.46659 
 1280.2 	 0.464805 
 1290.2 	 0.463044 
 1300.2 	 0.461308 
 1310.2 	 0.459597 
 1320.2 	 0.45791 
 1330.2 	 0.456248 
 1340.2 	 0.454611 
 1350.2 	 0.452998 
 1360.2 	 0.45141 
 1370.2 	 0.449846 
 1380.2 	 0.448308 
 1390.2 	 0.446793 
 1400.2 	 0.445304 
 1410.2 	 0.443839 
 1420.2 	 0.442398 
 1430.2 	 0.440983 
 1440.2 	 0.439592 
 1450.2 	 0.438225 
 1460.2 	 0.436883 
 1470.2 	 0.435566 
 1480.2 	 0.434274 
 1490.2 	 0.433006 
 1500.2 	 0.431762 
 1510.2 	 0.430544 
 1520.2 	 0.42935 
 1530.2 	 0.42818 
 1540.2 	 0.427035 
 1550.2 	 0.425915 
 1560.2 	 0.42482 
 1570.2 	 0.423749 
 1580.2 	 0.422703 
 1590.2 	 0.421681 
 1600.2 	 0.420684 
 1610.2 	 0.419712 
 1620.2 	 0.418764 
 1630.2 	 0.417841 
 1640.2 	 0.416942 
 1650.2 	 0.416068 
 1660.2 	 0.415219 
 1670.2 	 0.414395 
 1680.2 	 0.413595 
 1690.2 	 0.412819 
 1700.2 	 0.412069 
 1710.2 	 0.411342 
 1720.2 	 0.410641 
 1730.2 	 0.409964 
 1740.2 	 0.409312 
 1750.2 	 0.408684 
 1760.2 	 0.408082 
 1770.2 	 0.407503 
 1780.2 	 0.40695 
 1790.2 	 0.40642 
 1800.2 	 0.405916 
 1810.2 	 0.405436 
 1820.2 	 0.404981 
 1830.2 	 0.404551 
 1840.2 	 0.404145 
 1850.2 	 0.403763 
 1860.2 	 0.403407 
 1870.2 	 0.403075 
 1880.2 	 0.402767 
 1890.2 	 0.402485 
 1900.2 	 0.402227 
 1910.2 	 0.401993 
 1920.2 	 0.401784 
 1930.2 	 0.4016 
 1940.2 	 0.40144 
 1950.2 	 0.401305 
 1960.2 	 0.401195 
 1970.2 	 0.401109 
 1980.2 	 0.401048 
 1990.2 	 0.401012 
 2000.2 	 0.401 
 2010.2 	 0.401 
 2020.2 	 0.401 
 2030.2 	 0.401 
 2040.2 	 0.401 
 2050.2 	 0.401 
 2060.2 	 0.401001 
 2070.2 	 0.401001 
 2080.2 	 0.401001 
 2090.2 	 0.401002 
 2100.2 	 0.401002 
 2110.2 	 0.401002 
 2120.2 	 0.401003 
 2130.2 	 0.401003 
 2140.2 	 0.401004 
 2150.2 	 0.401004 
 2160.2 	 0.401005 
 2170.2 	 0.401006 
 2180.2 	 0.401006 
 2190.2 	 0.401007 
 2200.2 	 0.401008 
 2210.2 	 0.401009 
 2220.2 	 0.40101 
 2230.2 	 0.40101 
 2240.2 	 0.401011 
 2250.2 	 0.401012 
 2260.2 	 0.401013 
 2270.2 	 0.401014 
 2280.2 	 0.401015 
 2290.2 	 0.401017 
 2300.2 	 0.401018 
 2310.2 	 0.401019 
 2320.2 	 0.40102 
 2330.2 	 0.401021 
 2340.2 	 0.401023 
 2350.2 	 0.401024 
 2360.2 	 0.401025 
 2370.2 	 0.401027 
 2380.2 	 0.401028 
 2390.2 	 0.40103 
 2400.2 	 0.401031 
 2410.2 	 0.401033 
 2420.2 	 0.401034 
 2430.2 	 0.401036 
 2440.2 	 0.401038 
 2450.2 	 0.40104 
 2460.2 	 0.401041 
 2470.2 	 0.401043 
 2480.2 	 0.401045 
 2490.2 	 0.401047 
 2500.2 	 0.401049 
 2510.2 	 0.401051 
 2520.2 	 0.401053 
 2530.2 	 0.401055 
 2540.2 	 0.401057 
 2550.2 	 0.401059 
 2560.2 	 0.401061 
 2570.2 	 0.401063 
 2580.2 	 0.401065 
 2590.2 	 0.401068 
 2600.2 	 0.40107 
 2610.2 	 0.401072 
 2620.2 	 0.401075 
 2630.2 	 0.401077 
 2640.2 	 0.40108 
 2650.2 	 0.401082 
 2660.2 	 0.401085 
 2670.2 	 0.401087 
 2680.2 	 0.40109 
 2690.2 	 0.401092 
 2700.2 	 0.401095 
 2710.2 	 0.401098 
 2720.2 	 0.4011 
 2730.2 	 0.401103 
 2740.2 	 0.401106 
 2750.2 	 0.401109 
 2760.2 	 0.401112 
 2770.2 	 0.401115 
 2780.2 	 0.401118 
 2790.2 	 0.401121 
 2800.2 	 0.401124 
 2810.2 	 0.401127 
 2820.2 	 0.40113 
 2830.2 	 0.401133 
 2840.2 	 0.401136 
 2850.2 	 0.401139 
 2860.2 	 0.401143 
 2870.2 	 0.401146 
 2880.2 	 0.401149 
 2890.2 	 0.401153 
 2900.2 	 0.401156 
 2910.2 	 0.40116 
 2920.2 	 0.401163 
 2930.2 	 0.401167 
 2940.2 	 0.40117 
 2950.2 	 0.401174 
 2960.2 	 0.401177 
 2970.2 	 0.401181 
 2980.2 	 0.401185 
 2990.2 	 0.401188 
 3000.2 	 0.401192 
 3010.2 	 0.401196 
 3020.2 	 0.4012 
 3030.2 	 0.401204 
 3040.2 	 0.401208 
 3050.2 	 0.401212 
 3060.2 	 0.401215 
 3070.2 	 0.40122 
 3080.2 	 0.401224 
 3090.2 	 0.401228 
 3100.2 	 0.401232 
 3110.2 	 0.401236 
 3120.2 	 0.40124 
 3130.2 	 0.401244 
 3140.2 	 0.401249 
 3150.2 	 0.401253 
 3160.2 	 0.401257 
 3170.2 	 0.401262 
 3180.2 	 0.401266 
 3190.2 	 0.401271 
 3200.2 	 0.401275 
 3210.2 	 0.40128 
 3220.2 	 0.401284 
 3230.2 	 0.401289 
 3240.2 	 0.401293 
 3250.2 	 0.401298 
 3260.2 	 0.401303 
 3270.2 	 0.401307 
 3280.2 	 0.401312 
 3290.2 	 0.401317 
 3300.2 	 0.401322 
 3310.2 	 0.401327 
 3320.2 	 0.401332 
 3330.2 	 0.401337 
 3340.2 	 0.401342 
 3350.2 	 0.401347 
 3360.2 	 0.401352 
 3370.2 	 0.401357 
 3380.2 	 0.401362 
 3390.2 	 0.401367 
 3400.2 	 0.401372 
 3410.2 	 0.401377 
 3420.2 	 0.401383 
 3430.2 	 0.401388 
 3440.2 	 0.401393 
 3450.2 	 0.401399 
 3460.2 	 0.401404 
 3470.2 	 0.40141 
 3480.2 	 0.401415 
 3490.2 	 0.40142 
 3500.2 	 0.401426 
 3510.2 	 0.401432 
 3520.2 	 0.401437 
 3530.2 	 0.401443 
 3540.2 	 0.401449 
 3550.2 	 0.401454 
 3560.2 	 0.40146 
 3570.2 	 0.401466 
 3580.2 	 0.401472 
 3590.2 	 0.401477 
 3600.2 	 0.401483 
 3610.2 	 0.401489 
 3620.2 	 0.401495 
 3630.2 	 0.401501 
 3640.2 	 0.401507 
 3650.2 	 0.401513 
 3660.2 	 0.401519 
 3670.2 	 0.401525 
 3680.2 	 0.401532 
 3690.2 	 0.401538 
 3700.2 	 0.401544 
 3710.2 	 0.40155 
 3720.2 	 0.401557 
 3730.2 	 0.401563 
 3740.2 	 0.401569 
 3750.2 	 0.401576 
 3760.2 	 0.401582 
 3770.2 	 0.401589 
 3780.2 	 0.401595 
 3790.2 	 0.401602 
 3800.2 	 0.401608 
 3810.2 	 0.401615 
 3820.2 	 0.401621 
 3830.2 	 0.401628 
 3840.2 	 0.401635 
 3850.2 	 0.401641 
 3860.2 	 0.401648 
 3870.2 	 0.401655 
 3880.2 	 0.401662 
 3890.2 	 0.401669 
 3900.2 	 0.401676 
 3910.2 	 0.401683 
 3920.2 	 0.401689 
 3930.2 	 0.401696 
 3940.2 	 0.401704 
 3950.2 	 0.401711 
 3960.2 	 0.401718 
 3970.2 	 0.401725 
 3980.2 	 0.401732 
 3990.2 	 0.401739 
 4000.2 	 0.401746 
 4010.2 	 0.401754 
 4020.2 	 0.401761 
 4030.2 	 0.401768 
 4040.2 	 0.401776 
 4050.2 	 0.401783 
 4060.2 	 0.40179 
 4070.2 	 0.401798 
 4080.2 	 0.401805 
 4090.2 	 0.401813 
 4100.2 	 0.40182 
 4110.2 	 0.401828 
 4120.2 	 0.401836 
 4130.2 	 0.401843 
 4140.2 	 0.401851 
 4150.2 	 0.401859 
 4160.2 	 0.401866 
 4170.2 	 0.401874 
 4180.2 	 0.401882 
 4190.2 	 0.40189 
 4200.2 	 0.401898 
 4210.2 	 0.401906 
 4220.2 	 0.401914 
 4230.2 	 0.401922 
 4240.2 	 0.40193 
 4250.2 	 0.401938 
 4260.2 	 0.401946 
 4270.2 	 0.401954 
 4280.2 	 0.401962 
 4290.2 	 0.40197 
 4300.2 	 0.401978 
 4310.2 	 0.401987 
 4320.2 	 0.401995 
 4330.2 	 0.402003 
 4340.2 	 0.402011 
 4350.2 	 0.40202 
 4360.2 	 0.402028 
 4370.2 	 0.402037 
 4380.2 	 0.402045 
 4390.2 	 0.402054 
 4400.2 	 0.402062 
 4410.2 	 0.402071 
 4420.2 	 0.402079 
 4430.2 	 0.402088 
 4440.2 	 0.402096 
 4450.2 	 0.402105 
 4460.2 	 0.402114 
 4470.2 	 0.402123 
 4480.2 	 0.402131 
 4490.2 	 0.40214 
 4500.2 	 0.402149 
 4510.2 	 0.402158 
 4520.2 	 0.402167 
 4530.2 	 0.402176 
 4540.2 	 0.402185 
 4550.2 	 0.402194 
 4560.2 	 0.402203 
 4570.2 	 0.402212 
 4580.2 	 0.402221 
 4590.2 	 0.40223 
 4600.2 	 0.402239 
 4610.2 	 0.402248 
 4620.2 	 0.402257 
 4630.2 	 0.402267 
 4640.2 	 0.402276 
 4650.2 	 0.402285 
 4660.2 	 0.402295 
 4670.2 	 0.402304 
 4680.2 	 0.402313 
 4690.2 	 0.402323 
 4700.2 	 0.402332 
 4710.2 	 0.402342 
 4720.2 	 0.402351 
 4730.2 	 0.402361 
 4740.2 	 0.40237 
 4750.2 	 0.40238 
 4760.2 	 0.40239 
 4770.2 	 0.402399 
 4780.2 	 0.402409 
 4790.2 	 0.402419 
 4800.2 	 0.402428 
 4810.2 	 0.402438 
 4820.2 	 0.402448 
 4830.2 	 0.402458 
 4840.2 	 0.402468 
 4850.2 	 0.402478 
 4860.2 	 0.402488 
 4870.2 	 0.402498 
 4880.2 	 0.402508 
 4890.2 	 0.402518 
 4900.2 	 0.402528 
 4910.2 	 0.402538 
 4920.2 	 0.402548 
 4930.2 	 0.402558 
 4940.2 	 0.402568 
 4950.2 	 0.402578 
 4960.2 	 0.402589 
 4970.2 	 0.402599 
 4980.2 	 0.402609 
 4990.2 	 0.402619 
 5000.2 	 0.40263 
 5010.2 	 0.40264 
 5020.2 	 0.402651 
 5030.2 	 0.402661 
 5040.2 	 0.402672 
 5050.2 	 0.402682 
 5060.2 	 0.402693 
 5070.2 	 0.402703 
 5080.2 	 0.402714 
 5090.2 	 0.402724 
 5100.2 	 0.402735 
 5110.2 	 0.402746 
 5120.2 	 0.402756 
 5130.2 	 0.402767 
 5140.2 	 0.402778 
 5150.2 	 0.402789 
 5160.2 	 0.4028 
 5170.2 	 0.40281 
 5180.2 	 0.402821 
 5190.2 	 0.402832 
 5200.2 	 0.402843 
 5210.2 	 0.402854 
 5220.2 	 0.402865 
 5230.2 	 0.402876 
 5240.2 	 0.402887 
 5250.2 	 0.402898 
 5260.2 	 0.402909 
 5270.2 	 0.402921 
 5280.2 	 0.402932 
 5290.2 	 0.402943 
 5300.2 	 0.402954 
 5310.2 	 0.402965 
 5320.2 	 0.402977 
 5330.2 	 0.402988 
 5340.2 	 0.402999 
 5350.2 	 0.403011 
 5360.2 	 0.403022 
 5370.2 	 0.403034 
 5380.2 	 0.403045 
 5390.2 	 0.403057 
 5400.2 	 0.403068 
 5410.2 	 0.40308 
 5420.2 	 0.403091 
 5430.2 	 0.403103 
 5440.2 	 0.403114 
 5450.2 	 0.403126 
 5460.2 	 0.403138 
 5470.2 	 0.403149 
 5480.2 	 0.403161 
 5490.2 	 0.403173 
 5500.2 	 0.403185 
 5510.2 	 0.403197 
 5520.2 	 0.403208 
 5530.2 	 0.40322 
 5540.2 	 0.403232 
 5550.2 	 0.403244 
 5560.2 	 0.403256 
 5570.2 	 0.403268 
 5580.2 	 0.40328 
 5590.2 	 0.403292 
 5600.2 	 0.403304 
 5610.2 	 0.403316 
 5620.2 	 0.403328 
 5630.2 	 0.403341 
 5640.2 	 0.403353 
 5650.2 	 0.403365 
 5660.2 	 0.403377 
 5670.2 	 0.40339 
 5680.2 	 0.403402 
 5690.2 	 0.403414 
 5700.2 	 0.403427 
 5710.2 	 0.403439 
 5720.2 	 0.403451 
 5730.2 	 0.403464 
 5740.2 	 0.403476 
 5750.2 	 0.403489 
 5760.2 	 0.403501 
 5770.2 	 0.403514 
 5780.2 	 0.403526 
 5790.2 	 0.403539 
 5800.2 	 0.403552 
 5810.2 	 0.403564 
 5820.2 	 0.403577 
 5830.2 	 0.40359 
 5840.2 	 0.403602 
 5850.2 	 0.403615 
 5860.2 	 0.403628 
 5870.2 	 0.403641 
 5880.2 	 0.403653 
 5890.2 	 0.403666 
 5900.2 	 0.403679 
 5910.2 	 0.403692 
 5920.2 	 0.403705 
 5930.2 	 0.403718 
 5940.2 	 0.403731 
 5950.2 	 0.403744 
 5960.2 	 0.403757 
 5970.2 	 0.40377 
 5980.2 	 0.403783 
 5990.2 	 0.403796 
 6000.2 	 0.40381 
 6010.2 	 0.403823 
 6020.2 	 0.403836 
 6030.2 	 0.403849 
 6040.2 	 0.403862 
 6050.2 	 0.403876 
 6060.2 	 0.403889 
 6070.2 	 0.403902 
 6080.2 	 0.403916 
 6090.2 	 0.403929 
 6100.2 	 0.403943 
 6110.2 	 0.403956 
 6120.2 	 0.40397 
 6130.2 	 0.403983 
 6140.2 	 0.403997 
 6150.2 	 0.40401 
 6160.2 	 0.404024 
 6170.2 	 0.404037 
 6180.2 	 0.404051 
 6190.2 	 0.404065 
 6200.2 	 0.404078 
 6210.2 	 0.404092 
 6220.2 	 0.404106 
 6230.2 	 0.404119 
 6240.2 	 0.404133 
 6250.2 	 0.404147 
 6260.2 	 0.404161 
 6270.2 	 0.404175 
 6280.2 	 0.404189 
 6290.2 	 0.404202 
 6300.2 	 0.404216 
 6310.2 	 0.40423 
 6320.2 	 0.404244 
 6330.2 	 0.404258 
 6340.2 	 0.404272 
 6350.2 	 0.404286 
 6360.2 	 0.4043 
 6370.2 	 0.404315 
 6380.2 	 0.404329 
 6390.2 	 0.404343 
 6400.2 	 0.404357 
 6410.2 	 0.404371 
 6420.2 	 0.404386 
 6430.2 	 0.4044 
 6440.2 	 0.404414 
 6450.2 	 0.404428 
 6460.2 	 0.404443 
 6470.2 	 0.404457 
 6480.2 	 0.404471 
 6490.2 	 0.404486 
 6500.2 	 0.4045 
 6510.2 	 0.404515 
 6520.2 	 0.404529 
 6530.2 	 0.404544 
 6540.2 	 0.404558 
 6550.2 	 0.404573 
 6560.2 	 0.404587 
 6570.2 	 0.404602 
 6580.2 	 0.404617 
 6590.2 	 0.404631 
 6600.2 	 0.404646 
 6610.2 	 0.404661 
 6620.2 	 0.404675 
 6630.2 	 0.40469 
 6640.2 	 0.404705 
 6650.2 	 0.40472 
 6660.2 	 0.404735 
 6670.2 	 0.404749 
 6680.2 	 0.404764 
 6690.2 	 0.404779 
 6700.2 	 0.404794 
 6710.2 	 0.404809 
 6720.2 	 0.404824 
 6730.2 	 0.404839 
 6740.2 	 0.404854 
 6750.2 	 0.404869 
 6760.2 	 0.404884 
 6770.2 	 0.404899 
 6780.2 	 0.404914 
 6790.2 	 0.404929 
 6800.2 	 0.404945 
 6810.2 	 0.40496 
 6820.2 	 0.404975 
 6830.2 	 0.40499 
 6840.2 	 0.405005 
 6850.2 	 0.405021 
 6860.2 	 0.405036 
 6870.2 	 0.405051 
 6880.2 	 0.405067 
 6890.2 	 0.405082 
 6900.2 	 0.405097 
 6910.2 	 0.405113 
 6920.2 	 0.405128 
 6930.2 	 0.405144 
 6940.2 	 0.405159 
 6950.2 	 0.405175 
 6960.2 	 0.40519 
 6970.2 	 0.405206 
 6980.2 	 0.405221 
 6990.2 	 0.405237 
 7000.2 	 0.405253 
 7010.2 	 0.405268 
 7020.2 	 0.405284 
 7030.2 	 0.4053 
 7040.2 	 0.405315 
 7050.2 	 0.405331 
 7060.2 	 0.405347 
 7070.2 	 0.405363 
 7080.2 	 0.405379 
 7090.2 	 0.405394 
 7100.2 	 0.40541 
 7110.2 	 0.405426 
 7120.2 	 0.405442 
 7130.2 	 0.405458 
 7140.2 	 0.405474 
 7150.2 	 0.40549 
 7160.2 	 0.405506 
 7170.2 	 0.405522 
 7180.2 	 0.405538 
 7190.2 	 0.405554 
 7200.2 	 0.40557 
 7210.2 	 0.405586 
 7220.2 	 0.405602 
 7230.2 	 0.405618 
 7240.2 	 0.405635 
 7250.2 	 0.405651 
 7260.2 	 0.405667 
 7270.2 	 0.405683 
 7280.2 	 0.405699 
 7290.2 	 0.405716 
 7300.2 	 0.405732 
 7310.2 	 0.405748 
 7320.2 	 0.405765 
 7330.2 	 0.405781 
 7340.2 	 0.405798 
 7350.2 	 0.405814 
 7360.2 	 0.40583 
 7370.2 	 0.405847 
 7380.2 	 0.405863 
 7390.2 	 0.40588 
 7400.2 	 0.405896 
 7410.2 	 0.405913 
 7420.2 	 0.405929 
 7430.2 	 0.405946 
 7440.2 	 0.405963 
 7450.2 	 0.405979 
 7460.2 	 0.405996 
 7470.2 	 0.406013 
 7480.2 	 0.406029 
 7490.2 	 0.406046 
 7500.2 	 0.406063 
 7510.2 	 0.40608 
 7520.2 	 0.406096 
 7530.2 	 0.406113 
 7540.2 	 0.40613 
 7550.2 	 0.406147 
 7560.2 	 0.406164 
 7570.2 	 0.406181 
 7580.2 	 0.406197 
 7590.2 	 0.406214 
 7600.2 	 0.406231 
 7610.2 	 0.406248 
 7620.2 	 0.406265 
 7630.2 	 0.406282 
 7640.2 	 0.406299 
 7650.2 	 0.406316 
 7660.2 	 0.406333 
 7670.2 	 0.406351 
 7680.2 	 0.406368 
 7690.2 	 0.406385 
 7700.2 	 0.406402 
 7710.2 	 0.406419 
 7720.2 	 0.406436 
 7730.2 	 0.406454 
 7740.2 	 0.406471 
 7750.2 	 0.406488 
 7760.2 	 0.406505 
 7770.2 	 0.406523 
 7780.2 	 0.40654 
 7790.2 	 0.406557 
 7800.2 	 0.406575 
 7810.2 	 0.406592 
 7820.2 	 0.40661 
 7830.2 	 0.406627 
 7840.2 	 0.406644 
 7850.2 	 0.406662 
 7860.2 	 0.406679 
 7870.2 	 0.406697 
 7880.2 	 0.406714 
 7890.2 	 0.406732 
 7900.2 	 0.406749 
 7910.2 	 0.406767 
 7920.2 	 0.406785 
 7930.2 	 0.406802 
 7940.2 	 0.40682 
 7950.2 	 0.406838 
 7960.2 	 0.406855 
 7970.2 	 0.406873 
 7980.2 	 0.406891 
 7990.2 	 0.406909 
 8000.2 	 0.406926 
 8010.2 	 0.406944 
 8020.2 	 0.406962 
